request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_143,2501.34,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15 and pay ZAR 12584 in full; only ZAR 2501.34 is safe today. The lowest projected balance is ZAR 13801.34 on 2025-05-14, keeping the ZAR 11300 minimum protected."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Pay USD 233.34 in full today. The lowest projected balance is USD 616.71 on 2026-07-12, keeping the USD 600 minimum protected."
request_145,27650.11,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335,"Reduce Takeaway order to INR 3335, then use 3 installments of INR 75365.33 starting 2024-03-20 (payment_option_412). The lowest projected balance is INR 155693.38 on 2024-05-14, keeping the INR 155400 minimum protected."
request_146,16037.10,not_affordable,not_recommended,none,,none,Do not proceed with the INR 449400 request. Only INR 16037.10 is safe today and the full INR 449400 does not become safe as one payment within the 86-day forecast.
request_147,477.47,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63 starting 2026-04-08 (payment_option_418). The lowest projected balance is EUR 985.84 on 2026-04-14, keeping the EUR 900 minimum protected."
request_148,7127.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13593|reduce_to:event_13661:531.30,"Stop Community fitness plan and reduce Family dinner to ZAR 531.30, then use 3 installments of ZAR 7710.56 starting 2024-06-14 (payment_option_421). The lowest projected balance is ZAR 20561.70 on 2024-06-14, keeping the ZAR 20000 minimum protected."
request_149,22401.21,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03 starting 2025-11-18 (payment_option_424). The lowest projected balance is ZAR 42713.97 on 2026-01-13, keeping the ZAR 42100 minimum protected."
request_150,255.74,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13785|reduce_to:event_13786:12.50|reduce_to:event_13787:16,"Stop Online backup subscription, reduce Family streaming plan to EUR 12.50 and reduce Online retail purchases to EUR 16, then use 3 installments of EUR 171.98 starting 2026-01-06 (payment_option_427). The lowest projected balance is EUR 701.61 on 2026-03-13, keeping the EUR 700 minimum protected."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26999000 in full today. The lowest projected balance is IDR 32254800.77 on 2024-09-14, keeping the IDR 31633600 minimum protected."
request_152,11084.90,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13958|reduce_to:event_14024:234.30,"Stop Food delivery membership and reduce Coffee shop to ZAR 234.30, then use 3 installments of ZAR 4812.43 starting 2025-02-12 (payment_option_433). The lowest projected balance is ZAR 12056.03 on 2025-04-14, keeping the ZAR 11900 minimum protected."
request_153,15.20,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2830.80 request. Only USD 15.20 is safe today and the full USD 2830.80 does not become safe as one payment within the 86-day forecast.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,reduce_to:event_14186:27.20,"Reduce Personal shopping to EUR 27.20, then use 3 installments of EUR 563.61 starting 2024-12-04 (payment_option_438). The lowest projected balance is EUR 1376.37 on 2025-02-13, keeping the EUR 1300 minimum protected."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112500 in full today. The lowest projected balance is INR 76602.21 on 2025-05-14, keeping the INR 56300 minimum protected."
request_156,9491.14,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15 and pay ZAR 43076 in full; only ZAR 9491.14 is safe today. The lowest projected balance is ZAR 36391.14 on 2026-04-11, keeping the ZAR 26900 minimum protected."
request_157,4775248.01,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Wait until 2024-04-15 and pay IDR 23503000 in full; only IDR 4775248.01 is safe today. The lowest projected balance is IDR 17255175.07 on 2024-05-14, keeping the IDR 15714100 minimum protected."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33 starting 2025-08-07 (payment_option_449). The lowest projected balance is INR 622162.19 on 2025-08-13, keeping the INR 131400 minimum protected."
request_159,805.88,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 13398 request. Only ZAR 805.88 is safe today and the full ZAR 13398 does not become safe as one payment within the 86-day forecast.
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05 starting 2024-06-13 (payment_option_454). The lowest projected balance is EUR 1337.47 on 2024-06-13, keeping the EUR 1200 minimum protected."
request_161,6906804.19,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Wait until 2026-01-15 and pay IDR 21204000 in full; only IDR 6906804.19 is safe today. The lowest projected balance is IDR 29917204.19 on 2025-11-13, keeping the IDR 23010400 minimum protected."
request_162,1255094.80,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 83923000 request. Only IDR 1255094.80 is safe today and the full IDR 83923000 does not become safe as one payment within the 86-day forecast.
request_163,8809583.40,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Reduce Neighbourhood restaurant to IDR 664050, then use 3 installments of IDR 6692053.33 starting 2024-09-10 (payment_option_462). The lowest projected balance is IDR 29086344.10 on 2024-10-14, keeping the IDR 26728700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240 starting 2025-02-11 (payment_option_465). The lowest projected balance is IDR 34106757.73 on 2025-04-13, keeping the IDR 29550500 minimum protected."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80600 in full today. The lowest projected balance is INR 114052.36 on 2026-06-28, keeping the INR 95000 minimum protected."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97 starting 2024-12-03 (payment_option_471). The lowest projected balance is USD 6770.65 on 2025-02-07, keeping the USD 1700 minimum protected."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43802 in full today. The lowest projected balance is ZAR 36328.16 on 2025-05-19, keeping the ZAR 31200 minimum protected."
request_168,30444.55,affordable_with_plan,partial_payment,2026-01-07:30444.55|2026-02-15:18935.45,2026-02-15,none,"Pay INR 30444.55 today and the remaining INR 18935.45 on 2026-02-15. The lowest projected balance is INR 114400 on 2026-01-13, keeping the INR 114400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41976 in full today. The lowest projected balance is ZAR 23799.65 on 2024-03-14, keeping the ZAR 18700 minimum protected."
request_170,29866830.92,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480 starting 2025-08-06 (payment_option_483). The lowest projected balance is IDR 25610005.95 on 2025-10-14, keeping the IDR 24715800 minimum protected."
request_171,33.02,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1878.80 request. Only EUR 33.02 is safe today and the full EUR 1878.80 does not become safe as one payment within the 86-day forecast.
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,"Pay ZAR 9077.61 today and the remaining ZAR 1122.39 on 2024-06-15. The lowest projected balance is ZAR 27200 on 2024-06-12, keeping the ZAR 27200 minimum protected."
request_173,55371.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39173.33 starting 2025-11-21 (payment_option_491). The lowest projected balance is INR 81564.57 on 2026-01-14, keeping the INR 79100 minimum protected."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35 starting 2026-04-04 (payment_option_494). The lowest projected balance is EUR 787.80 on 2026-06-27, keeping the EUR 700 minimum protected."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2346.30 in full today. The lowest projected balance is EUR 1908.34 on 2024-09-14, keeping the EUR 1700 minimum protected."
request_176,26.37,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1239.70 request. Only EUR 26.37 is safe today and the full EUR 1239.70 does not become safe as one payment within the 86-day forecast.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1017.60 in full today. The lowest projected balance is USD 1390.51 on 2026-01-14, keeping the USD 1300 minimum protected."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54 starting 2024-12-07 (payment_option_506). The lowest projected balance is EUR 6310.79 on 2025-02-07, keeping the EUR 1400 minimum protected."
request_179,6584779.79,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15 and pay IDR 41648000 in full; only IDR 6584779.79 is safe today. The lowest projected balance is IDR 48015579.79 on 2025-05-13, keeping the IDR 41430800 minimum protected."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66500 in full today. The lowest projected balance is INR 47440.38 on 2026-07-12, keeping the INR 37300 minimum protected."
request_181,407.29,not_affordable,not_recommended,none,,none,Do not proceed with the USD 5059.20 request. Only USD 407.29 is safe today and the full USD 5059.20 does not become safe as one payment within the 86-day forecast.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65714 in full today. The lowest projected balance is ZAR 42771.26 on 2025-08-13, keeping the ZAR 31100 minimum protected."
request_183,22982284.09,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,reduce_to:event_16815:365560,"Reduce Household shopping to IDR 365560, then use 3 installments of IDR 9313546.67 starting 2026-04-10 (payment_option_521). The lowest projected balance is IDR 13244344.21 on 2026-06-14, keeping the IDR 11878300 minimum protected."
request_184,7134.14,not_affordable,not_recommended,none,,none,Do not proceed with the INR 251900 request. Only INR 7134.14 is safe today and the full INR 251900 does not become safe as one payment within the 86-day forecast.
request_185,309.85,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 2026-01-15 and pay EUR 1257.30 in full; only EUR 309.85 is safe today. The lowest projected balance is EUR 1609.85 on 2025-11-13, keeping the EUR 1300 minimum protected."
request_186,4156.69,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 2026-03-15 and pay ZAR 26554 in full; only ZAR 4156.69 is safe today. The lowest projected balance is ZAR 26156.69 on 2026-01-13, keeping the ZAR 22000 minimum protected."
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 2024-11-15 and pay INR 187500 in full; only INR 37844.44 is safe today. The lowest projected balance is INR 166144.44 on 2024-09-13, keeping the INR 128300 minimum protected."
request_188,102.93,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2464 request. Only EUR 102.93 is safe today and the full EUR 2464 does not become safe as one payment within the 86-day forecast.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,"Pay EUR 488.40 in full today. The lowest projected balance is EUR 474.49 on 2026-07-11, keeping the EUR 400 minimum protected."
request_190,478.56,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 2025-02-15 and pay EUR 2557.50 in full; only EUR 478.56 is safe today. The lowest projected balance is EUR 2078.56 on 2024-12-14, keeping the EUR 1600 minimum protected."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,"Pay EUR 664.40 in full today. The lowest projected balance is EUR 601.50 on 2025-05-14, keeping the EUR 500 minimum protected."
request_192,163.73,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2046 request. Only USD 163.73 is safe today and the full amount is not safe until 2026-06-24, after the desired date 2026-05-11."
request_193,33.63,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23 starting 2024-03-21 (payment_option_549). The lowest projected balance is EUR 1033.63 on 2024-03-14, keeping the EUR 1000 minimum protected."
request_194,33083.27,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Wait until 2025-10-23 and pay INR 132800 in full; only INR 33083.27 is safe today. The lowest projected balance is INR 146683.27 on 2025-08-17, keeping the INR 113600 minimum protected."
request_195,965.93,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,reduce_to:event_17957:13,"Reduce Games and recreation to EUR 13, then use 3 installments of EUR 405.74 starting 2026-01-09 (payment_option_555). The lowest projected balance is EUR 721.87 on 2026-03-14, keeping the EUR 700 minimum protected."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,"Pay EUR 762.30 in full today. The lowest projected balance is EUR 664.77 on 2024-06-10, keeping the EUR 500 minimum protected."
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17658853.33 starting 2025-11-19 (payment_option_562). The lowest projected balance is IDR 27826624.09 on 2026-01-14, keeping the IDR 26245900 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185800 in full today. The lowest projected balance is INR 157332.65 on 2026-07-14, keeping the INR 124300 minimum protected."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67 starting 2024-09-07 (payment_option_569). The lowest projected balance is IDR 27520223.40 on 2024-11-28, keeping the IDR 25359500 minimum protected."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21717000 in full today. The lowest projected balance is IDR 24351759.97 on 2025-02-13, keeping the IDR 20114600 minimum protected."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23997000 in full today. The lowest projected balance is IDR 22680698.09 on 2026-06-25, keeping the IDR 17304500 minimum protected."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123900 in full today. The lowest projected balance is INR 170819.90 on 2024-12-14, keeping the INR 147800 minimum protected."
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93 starting 2025-05-10 (payment_option_583). The lowest projected balance is EUR 3547.18 on 2025-07-17, keeping the EUR 1400 minimum protected."
request_204,572.06,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Wait until 2026-01-15 and pay EUR 588.74 in full; only EUR 572.06 is safe today. The lowest projected balance is EUR 1415.68 on 2026-02-13, keeping the EUR 1300 minimum protected."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10621000 in full today. The lowest projected balance is IDR 15505567.73 on 2024-03-13, keeping the IDR 13994300 minimum protected."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96 starting 2025-08-03 (payment_option_592). The lowest projected balance is EUR 4292.08 on 2025-08-03, keeping the EUR 900 minimum protected."
request_207,4516.76,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15 and pay ZAR 11830 in full; only ZAR 4516.76 is safe today. The lowest projected balance is ZAR 15402.96 on 2026-08-12, keeping the ZAR 13600 minimum protected."
request_208,3040802.28,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 2024-06-15 and pay IDR 4413000 in full; only IDR 3040802.28 is safe today. The lowest projected balance is IDR 12278719.21 on 2024-07-11, keeping the IDR 10470700 minimum protected."
request_209,1660.21,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 56914 request. Only ZAR 1660.21 is safe today and the full ZAR 56914 does not become safe as one payment within the 86-day forecast.
request_210,989.08,affordable_with_plan,partial_payment,2026-04-06:989.08|2026-04-15:370.94,2026-04-15,none,"Pay USD 989.08 today and the remaining USD 370.94 on 2026-04-15. The lowest projected balance is USD 2000 on 2026-04-13, keeping the USD 2000 minimum protected."
request_211,252.02,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Wait until 2024-10-15 and pay EUR 1788.60 in full; only EUR 252.02 is safe today. The lowest projected balance is EUR 1592.18 on 2024-11-13, keeping the EUR 1500 minimum protected."
request_212,4092864.87,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 71934000 request. Only IDR 4092864.87 is safe today and the full IDR 71934000 does not become safe as one payment within the 86-day forecast.
request_213,2693.68,not_affordable,not_recommended,none,,none,Do not proceed with the USD 3362.40 request. Only USD 2693.68 is safe today and the full USD 3362.40 does not become safe as one payment within the 86-day forecast.
request_214,41113.72,affordable_with_plan,partial_payment,2024-12-04:41113.72|2024-12-15:28636.28,2024-12-15,none,"Pay INR 41113.72 today and the remaining INR 28636.28 on 2024-12-15. The lowest projected balance is INR 174900 on 2024-12-14, keeping the INR 174900 minimum protected."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15 starting 2025-05-09 (payment_option_616). The lowest projected balance is ZAR 18491.48 on 2025-07-30, keeping the ZAR 15700 minimum protected."
request_216,483.10,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Wait until 2026-09-15 and pay USD 3332.40 in full; only USD 483.10 is safe today. The lowest projected balance is USD 2283.10 on 2026-07-09, keeping the USD 1800 minimum protected."
request_217,19583.40,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07 starting 2024-03-19 (payment_option_622). The lowest projected balance is ZAR 27506.15 on 2024-05-13, keeping the ZAR 26800 minimum protected."
request_218,24611852.52,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33 starting 2025-08-07 (payment_option_625). The lowest projected balance is IDR 37893159.19 on 2025-08-14, keeping the IDR 34477200 minimum protected."
request_219,711.17,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01 starting 2026-04-07 (payment_option_628). The lowest projected balance is EUR 1192.83 on 2026-05-14, keeping the EUR 1100 minimum protected."
request_220,72.35,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 3118.50 request. Only EUR 72.35 is safe today and the full EUR 3118.50 does not become safe as one payment within the 86-day forecast.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109800 in full today. The lowest projected balance is INR 104106.06 on 2025-11-13, keeping the INR 81500 minimum protected."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34078 in full today. The lowest projected balance is ZAR 84023.70 on 2026-01-05, keeping the ZAR 27300 minimum protected."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,"Pay EUR 898.70 in full today. The lowest projected balance is EUR 997.42 on 2024-09-14, keeping the EUR 800 minimum protected."
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040 starting 2025-02-04 (payment_option_645). The lowest projected balance is IDR 27912476.29 on 2025-03-12, keeping the IDR 22187600 minimum protected."
request_225,9590423.21,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120 starting 2026-07-20 (payment_option_647). The lowest projected balance is IDR 18566453.43 on 2026-09-13, keeping the IDR 17670700 minimum protected."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157000 in full today. The lowest projected balance is INR 237293.49 on 2025-01-14, keeping the INR 209400 minimum protected."
request_227,7567.27,not_affordable,not_recommended,none,,none,Do not proceed with the INR 259700 request. Only INR 7567.27 is safe today and the full INR 259700 does not become safe as one payment within the 86-day forecast.
request_228,1601201.62,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 63327000 request. Only IDR 1601201.62 is safe today and the full IDR 63327000 does not become safe as one payment within the 86-day forecast.
request_229,506.93,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29 starting 2024-03-18 (payment_option_659). The lowest projected balance is EUR 1109.92 on 2024-05-14, keeping the EUR 1000 minimum protected."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3537.60 in full today. The lowest projected balance is EUR 2513.70 on 2025-10-14, keeping the EUR 2000 minimum protected."
request_231,30710.56,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,reduce_to:event_21305:845.90,"Reduce Quick-service meal to ZAR 845.90, then use 3 installments of ZAR 12378.08 starting 2026-01-06 (payment_option_666). The lowest projected balance is ZAR 31998.02 on 2026-03-14, keeping the ZAR 24300 minimum protected."
request_232,631.96,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Wait until 2024-08-15 and pay EUR 1970.10 in full; only EUR 631.96 is safe today. The lowest projected balance is EUR 3031.96 on 2024-07-14, keeping the EUR 2400 minimum protected."
request_233,3738334.07,affordable_with_plan,partial_payment,2025-11-07:3738334.07|2025-11-15:2502665.93,2025-11-15,none,"Pay IDR 3738334.07 today and the remaining IDR 2502665.93 on 2025-11-15. The lowest projected balance is IDR 10365700 on 2025-11-14, keeping the IDR 10365700 minimum protected."
request_234,183.19,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 2026-09-15 and pay EUR 1213.30 in full; only EUR 183.19 is safe today. The lowest projected balance is EUR 883.19 on 2026-07-12, keeping the EUR 700 minimum protected."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,"Pay USD 967.20 in full today. The lowest projected balance is USD 820.61 on 2024-09-14, keeping the USD 700 minimum protected."
request_236,5830036.96,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52383000 request. Only IDR 5830036.96 is safe today and the full IDR 52383000 does not become safe as one payment within the 86-day forecast.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23826000 in full today. The lowest projected balance is IDR 28529178.78 on 2026-06-27, keeping the IDR 22431500 minimum protected."
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05 starting 2024-12-07 (payment_option_686). The lowest projected balance is USD 721.56 on 2025-02-14, keeping the USD 700 minimum protected."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,"Pay USD 642 in full today. The lowest projected balance is USD 654.44 on 2025-05-14, keeping the USD 600 minimum protected."
request_240,13746.71,not_affordable,not_recommended,none,,none,Do not proceed with the INR 101200 request. Only INR 13746.71 is safe today and the full INR 101200 does not become safe as one payment within the 86-day forecast.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67 starting 2024-03-17 (payment_option_695). The lowest projected balance is IDR 21984634.15 on 2024-05-19, keeping the IDR 19252000 minimum protected."
request_242,27.28,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1966.80 request. Only EUR 27.28 is safe today and the full EUR 1966.80 does not become safe as one payment within the 86-day forecast.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17468 in full today. The lowest projected balance is ZAR 24318.54 on 2026-07-12, keeping the ZAR 19900 minimum protected."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49918 in full today. The lowest projected balance is ZAR 59789.03 on 2024-06-12, keeping the ZAR 45900 minimum protected."
request_245,24005.91,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 2026-01-15 and pay INR 128500 in full; only INR 24005.91 is safe today. The lowest projected balance is INR 118605.91 on 2025-11-14, keeping the INR 94600 minimum protected."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48 starting 2026-04-03 (payment_option_710). The lowest projected balance is ZAR 42281.79 on 2026-06-26, keeping the ZAR 39300 minimum protected."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1059.30 in full today. The lowest projected balance is EUR 1344.02 on 2024-09-13, keeping the EUR 1300 minimum protected."
request_248,385.98,not_affordable,not_recommended,none,,none,Do not proceed with the USD 1965.60 request. Only USD 385.98 is safe today and the full USD 1965.60 does not become safe as one payment within the 86-day forecast.
request_249,126.52,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 2026-03-15 and pay USD 643.20 in full; only USD 126.52 is safe today. The lowest projected balance is USD 726.52 on 2026-01-14, keeping the USD 600 minimum protected."
request_250,15440.17,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 124278 request. Only ZAR 15440.17 is safe today and the full ZAR 124278 does not become safe as one payment within the 86-day forecast.
request_251,1058.74,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1513.60 request. Only EUR 1058.74 is safe today and the full amount is not safe until 2025-07-25, after the desired date 2025-06-06."
request_252,3988819.51,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15 and pay IDR 28082000 in full; only IDR 3988819.51 is safe today. The lowest projected balance is IDR 19141019.51 on 2026-07-11, keeping the IDR 15152200 minimum protected."
request_253,1370.82,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60 starting 2024-03-21 (payment_option_729). The lowest projected balance is EUR 2421.36 on 2024-05-14, keeping the EUR 2300 minimum protected."
request_254,637.23,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 2025-10-15 and pay USD 3535.20 in full; only USD 637.23 is safe today. The lowest projected balance is USD 3137.23 on 2025-08-13, keeping the USD 2500 minimum protected."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3345000 in full today. The lowest projected balance is IDR 11057646.06 on 2026-06-30, keeping the IDR 9813900 minimum protected."
request_256,152799.25,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816 starting 2024-06-10 (payment_option_737). The lowest projected balance is INR 185548.90 on 2024-08-12, keeping the INR 168600 minimum protected."
request_257,317.96,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 2026-01-15 and pay USD 1352.40 in full; only USD 317.96 is safe today. The lowest projected balance is USD 1917.96 on 2025-11-14, keeping the USD 1600 minimum protected."
